date,symbol,open,high,low,close,Volume BTC,Volume USD
2021-09-29 10:00:00,BTC/USD,42235.62,42497.57,42159.22,42470.76,27.43901053,1165355.6308571
2021-09-29 09:00:00,BTC/USD,42350.61,42357.6,42119.48,42257.13,63.99131566,2704089.34471566
2021-09-29 08:00:00,BTC/USD,42462.29,42500.66,42200,42380.02,68.78698173,2915193.66145703
2021-09-29 07:00:00,BTC/USD,42457.97,42515.2,42310.93,42469.5,45.51614162,1933047.77653059
2021-09-29 06:00:00,BTC/USD,42309,42461.45,42142.06,42445,34.61422272,1469200.6833504
2021-09-29 05:00:00,BTC/USD,42248.03,42308.39,42020.79,42308.39,35.67416241,1509316.37616562
2021-09-29 04:00:00,BTC/USD,42211.09,42467.51,42155.55,42258.81,40.32899479,1704255.3283216
2021-09-29 03:00:00,BTC/USD,41735.84,42239,41639.01,42164.4,52.3152817,2205842.46371148
2021-09-29 02:00:00,BTC/USD,41572.14,41891.01,41555.12,41721.78,70.27671311,2932069.56349854
2021-09-29 01:00:00,BTC/USD,41624.19,41839.35,41357.25,41560,41.48351979,1724055.0824724
2021-09-29 00:00:00,BTC/USD,41024.21,41768.61,40750,41606.14,272.00991573,11317282.6352506
2021-09-28 23:00:00,BTC/USD,41595.79,41713.89,40888,41049,119.52857821,4906528.60694229
2021-09-28 22:00:00,BTC/USD,41864.17,41865.09,41573.91,41588.82,26.13301002,1086841.04977998
2021-09-28 21:00:00,BTC/USD,41787.03,42000,41787.03,41868.15,31.77818717,1330493.90716164
2021-09-28 20:00:00,BTC/USD,41622.4,42024.33,41583.91,41785.45,93.82190471,3920390.50816447
2021-09-28 19:00:00,BTC/USD,41569.82,41798.34,41392.99,41575.9,95.14383195,3955690.44277001
2021-09-28 18:00:00,BTC/USD,41400,41753.49,41261.38,41574.62,83.35133498,3465300.07828621
2021-09-28 17:00:00,BTC/USD,41269.89,41458.63,41099.98,41415.59,164.35401871,6806818.65374569
2021-09-28 16:00:00,BTC/USD,41465.07,41648.85,41155,41264.11,55.12843242,2274825.69950645
2021-09-28 15:00:00,BTC/USD,41559.57,41686.22,41315.89,41450.75,72.48258972,3004457.70583629
